nl,code
"call the value.split method with '://' as argument, convert first element of the result to lower case, substitute the result for scheme.",scheme = value . split ( '://' ) [ 0 ] . lower ( )
return supported_code.,return supported_code
"if filepath starts with root,",if filepath . startswith ( root ) :
define the method __mod__ with 2 arguments: self and rhs.,"def __mod__ ( self , rhs ) :"
"if text has an '__html__' attribute,","if hasattr ( text , '__html__' ) :"
from django.core.mail.backends.base import BaseEmailBackend into default name space.,from django . core . mail . backends . base import BaseEmailBackend
"if bits is true and kwarg_format is false,",if bits and not kwarg_format :
"raise an TemplateSyntaxError exception with an argument string, ""'%s' tag takes at least 2 arguments and the second last argument","raise TemplateSyntaxError ( ""'%s' tag takes at least 2 arguments and the "" ""second last argument must be 'as'"" % function_name )"
"if six.PY3 is true,",if six . PY3 :
"and form is not contained in forms_to_delete, substitute the resulting list for valid_forms. for every form in valid_forms,",for form in valid_forms :
substitute node for bit.,bit = node
"if NotImplementedError exception,",except NotImplementedError :
substitute nodelist for self.nodelist.,self . nodelist = nodelist
substitute the last element of args for name.,name = args [ - 1 ]
"call the self.stderr.write, with string ""The po files under %s are in a seemingly not writable location. mo files will not be updated/created."" as argument, with '%s' replaced by dirpath.","self . stderr . write ( ""The po files under %s are in a seemingly not writable location. "" ""mo files will not be updated/created."" % dirpath )"
return value.,return value
"substitute the fitst element of the result for prefix_norm and prefix_args, respectively. for every possibility, pattern and defaults in possibilities,","for possibility , pattern , defaults in possibilities :"
"obj is an instance of Node class, created with 3 arguments: children, connector and negated.","obj = Node ( children , connector , negated )"
derive the class VariableNode form the base class Node.,class VariableNode ( Node ) :
"call the method re_camel_case.sub with 2 arguments: raw string ' \1' and value, strip the result of whitespaces from both ends,","return re_camel_case . sub ( r' \1' , value ) . strip ( ) . lower ( )"
"call the object Decimal with string '1' as an argument, divide it by 10, bring the result to the power of self.decimal_places,",step = str ( Decimal ( '1' ) / 10 ** self . decimal_places ) . lower ( )
substitute self.fk.rel.field_name for value under the 'to_field' key of the kwargs dictionary.,kwargs [ 'to_field' ] = self . fk . rel . field_name
return nothing.,return
"remove first element from self.tokens, return removed element.",return self . tokens . pop ( 0 )
"if exception OSError, renamed to e, occurred,",except OSError as e :
"for every i and widget in enumerated iterable self.widgets,","for i , widget in enumerate ( self . widgets ) :"
"otherwise if value is boolean False, string 'False' or string '0'","elif value in ( False , 'False' , '0' ) :"
"if middleware has an attribute 'process_view',","if hasattr ( middleware , 'process_view' ) :"
"where '%s' is replaced with token.contents. call the method parser.compile_filter with an argument, in_index incremented by one, and used to index parser.compile_filter,",sequence = parser . compile_filter ( bits [ in_index + 1 ] )
"if plen is lesser than difference of alen and dlen, or if plen is greater than alen,",if plen < ( alen - dlen ) or plen > alen :
"call the function func with 2 arguments: unpacked list resolved_args and unpacked dictionary resolved_kwargs,","context [ self . target_var ] = func ( * resolved_args , ** resolved_kwargs )"
"remove first and last character from the attrvalue, substitute it for attrvalue.",attrvalue = attrvalue [ 1 : - 1 ]
from xml.sax.expatreader import ExpatParser as _ExpatParser into default name space.,from xml . sax . expatreader import ExpatParser as _ExpatParser
"_iteritems is a string ""items"".","_iteritems = ""items"""
"total_ordering decorator,",@ total_ordering
from django.utils.deprecation import RemovedInDjango19Warning into default name space.,from django . utils . deprecation import RemovedInDjango19Warning
"define the method handle_field with argument self, obj and field.","def handle_field ( self , obj , field ) :"
"if values under the 'socket', 'host' and 'port' keys of the options dictionary are false,","elif not options [ ""socket"" ] and not options [ ""host"" ] and not options [ ""port"" ] :"
"if filename is true and filename path doesnt exist,",if filename and not os . path . exists ( filename ) :
"return first element of t converted to lowercase and second element of t, as a tuple.","return ( t [ 0 ] . lower ( ) , t [ 1 ] )"
define the method __init__ with 2 arguments: self and attrs set to None.,"def __init__ ( self , attrs = None ) :"
"call the method value.ljust with an argument, arg converted into a integer, return the result.",return value . ljust ( int ( arg ) )
call the method new_context._reset_dicts values.,new_context . _reset_dicts ( values )
"ip_address_validator_map is a dictionary containing 3 initial entries: tuple containing 2 elements: list with an element, validate_ipv46_address and return value of the function _ with an argument string 'Enter a valid IPv4 or IPv6 address.' for 'both',","ip_address_validator_map = { 'both' : ( [ validate_ipv46_address ] , _ ( 'Enter a valid IPv4 or IPv6 address.' ) ) , 'ipv4' : ( [ validate_ipv4_address ] , _ ( 'Enter a valid IPv4 address.' ) ) , 'ipv6' : ( [ validate_ipv6_address ] , _ ( 'Enter a valid IPv6 address.' ) ) , }"
do nothing.,pass
return nothing.,return
derive the class SortedDict from the dict base class.,class SortedDict ( dict ) :
define the function now.,def now ( ) :
if file is an instance of six.string_types.,"if isinstance ( file , six . string_types ) :"
"if message is an instance of SafeData,","if isinstance ( message , SafeData ) :"
"formated with values under the 'author_email' and 'author_name' keys of item dictionary. otherwise if value under the ""author_email"" key of the item dictionary is true,","elif item [ ""author_email"" ] :"
"if error_class is None,",if error_class is None :
"is exception is caught,",except :
"for every path in self.locale_paths,",for path in self . locale_paths :
"if construct is true,",if construct :
define the method __prepare_class__ with an argument self.,def __prepare_class__ ( cls ) :
"call the function method with 3 arguments: self, unpacked list args and unpacked dictionary kwargs, substitute the result for data.","data = method ( self , * args , ** kwargs )"
"call the method context.push, with the result perform,",with context . push ( ) :
return nothing.,return
call the method activate with an argument self.timezone.,activate ( self . timezone )
from django.db import DEFAULT_DB_ALIAS into default name space.,from django . db import DEFAULT_DB_ALIAS
derive the class UnreadablePostError from the base class IOError.,class UnreadablePostError ( IOError ) :
"call the encode function on the Header class instance, created with arguments nm and string 'utf-8', substitute the result for nm.","nm = Header ( nm , 'utf-8' ) . encode ( )"
import module copy.,import copy
delete name attribute of the _MovedItems object.,"delattr ( _MovedItems , name )"
return a tuple with 2 elements: integer 0 and second element of k.,"return ( 0 , k [ 1 ] )"
define the method resolve_error_handler with arguments self and view_type.,"def resolve_error_handler ( self , view_type ) :"
"get the identity of the self object, use it as a key to get the value of the memo dictionary, substitute result for it.",memo [ id ( self ) ] = result
"call the method self.empty_form.is_multipart, return the result",return self . empty_form . is_multipart ( )
"call the function get_template with an argument parent, return the result.",return get_template ( parent )
define the method visible_fields with an argument self.,def visible_fields ( self ) :
"if max_age is not None,",if max_age is not None :
"call the function get_default_timezone, substitute the result for self.timezone.",self . timezone = get_default_timezone ( )
return compile_function.,return compile_function
from functools import total_ordering.,from functools import total_ordering
"if ValueError or TypeError are caught,","except ( ValueError , TypeError ) :"
default_error_messages is an dictionary with an entry: return value of the function _ called with an argument string 'Enter a valid time.' for 'invalid'.,default_error_messages = { 'invalid' : _ ( 'Enter a valid time.' ) }
from django.utils.safestring import mark_safe and SafeData into default name space.,"from django . utils . safestring import mark_safe , SafeData"
raise an exception e.,raise e
"if field.serialize is true,",if field . serialize :
do nothing.,pass
"for every ext in pathext,",for ext in pathext :
substitute RadioChoiceInput for choice_input_class.,choice_input_class = RadioChoiceInput
define the method content with an argument self.,def content ( self ) :
"if bit is true,",if bit :
"if app_config.models_module is None,",if app_config . models_module is None :
define the method chunks with arguments self and chunk_size defaulting to None.,"def chunks ( self , chunk_size = None ) :"
doublecolon_len is integer 0.,doublecolon_len = 0
define the method f with an argument self.,def f ( self ) :
skip this loop iteration.,continue
derive the class DTDForbidden from the DefusedXmlException base class.,class DTDForbidden ( DefusedXmlException ) :
"call the emit_pre_migrate_signal with create_models, self.verbosity, self.interactive. connection.alias as arguments.","emit_pre_migrate_signal ( create_models , self . verbosity , self . interactive , connection . alias )"
append f to file_field_list.,file_field_list . append ( f )
"if BLOCK_CONTEXT_KEY is contained in render_context and call to the method get_block with an argument self.name from the object,",if ( BLOCK_CONTEXT_KEY in render_context and render_context [ BLOCK_CONTEXT_KEY ] . get_block ( self . name ) is not None ) :
append name to self._changed_data.,self . _changed_data . append ( name )
"call the function re.compile with an argument raw string ""_\(((?:"".*?"")|(?:'.*?'))\)"", substitute the result for constant_re.","constant_re = re . compile ( r""""""_\(((?:"".*?"")|(?:'.*?'))\)"""""" )"
"for every elt in source,",for elt in source :
call the server_bind method from the base class of the WSGIServer class.,"super ( WSGIServer , self ) . server_bind ( )"
increment i-th element of result by piece.,result [ i ] += piece
mime_type is a string 'application/rss+xml; charset=utf-8'.,mime_type = 'application/rss+xml; charset=utf-8'
call the method tzinfo.__init__ with an argument self.,tzinfo . __init__ ( self )
from django.conf import settings into default name space.,from django . conf import settings
"if value under the name key of the sys.modules dictionary is not None, return boolean True, otherwise return boolean False.",return sys . modules [ name ] is not None
define the method __init__ with an argument self.,def __init__ ( self ) :
if StopFutureHandlers exception is caught.,except StopFutureHandlers :
"for every func and args in self.filters,","for func , args in self . filters :"
"if the key doesnt exists call the six.String function and substitute the result for self.stream. remove the 'fields' key from the options dictionary and substitute it for self.selected_fields,","self . selected_fields = options . pop ( ""fields"" , None )"
"for every table_name in return value of the method connection.introspection.table_names called with an argument cursor,",for table_name in connection . introspection . table_names ( cursor ) :
"call the method lineno_comment_map.setdefault with 2 arguments: t.lineno and an empty list, append t.contents to the result.","lineno_comment_map . setdefault ( t . lineno , [ ] ) . append ( t . contents )"
"initial set to None, error_class set to ErrorList, label_suffix set to None, empty_permitted set to boolean False. if data is not None or files is not None, self.is_bound is boolean True, otherwise it is boolean False.",self . is_bound = data is not None or files is not None
"if colors is true and last element of colors is contained in color_names,",if colors and colors [ - 1 ] in color_names :
"and self.choice_label, return the result. define the method is_checked with an argument self.",def is_checked ( self ) :
"except if AttributeError is caught,",except AttributeError :
"call the method transaction.atomic with 2 arguments: using set to database, savepoint set to connection.features.can_rollback_ddl,","with transaction . atomic ( using = database , savepoint = connection . features . can_rollback_ddl ) :"
"join fixture_dir, fixture_name with appended character '*' into a valid file path,","for candidate in glob . iglob ( os . path . join ( fixture_dir , fixture_name + '*' ) ) :"
"call the function date_format with 2 arguments: value and use_l10n as use_l10n, return the result.","return date_format ( value , use_l10n = use_l10n )"
"dest set to string 'tags' and help set to string 'Run only checks labeled with given tag.'. call the method parser.add_argument with 4 arguments: string '--list-tags', action set to string 'store_true',","parser . add_argument ( '--list-tags' , action = 'store_true' , dest = 'list_tags' , help = 'List available tags.' )"
"if not,",else :
"where '%r' is replaced with first element of bits. if remaining_bits is true,",if remaining_bits :
do nothing.,pass
from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
call the function locks.lock with fd and locks.LOCK_EX as arguments.,"locks . lock ( fd , locks . LOCK_EX )"
"call the method self.find_template with 2 argumetns: template_name and template_dirs, assign the result to template, origin, respectively.","template , origin = self . find_template ( template_name , template_dirs )"
"if data is an instance of MultiValueDict or MergeDict class,","if isinstance ( data , ( MultiValueDict , MergeDict ) ) :"
substitute new_class.declared_fields for fields.,fields = new_class . declared_fields
"filesize_number_format with result of division of bytes by TB as an argument, substitute the result for value. if not,",else :
"called with 2 arguments: singular and trimmed and result of the function join_tokens called with 2 arguments: plural and trimmed, write the result to out. if not,",else :
"for every part in parts,",for part in parts :
call the method self.configure_logger with 2 arguments: name and value under loggers dictionary key name.,"self . configure_logger ( name , loggers [ name ] )"
"call the function CheckRegistry, substitute the result for registry.",registry = CheckRegistry ( )
"if InvalidOperation exception is caught,",except InvalidOperation :
"if '_' is contained in locale,",if '_' in locale :
"call the function ugettext_lazy with an argument value, return the result.",return ugettext_lazy ( value )
"call the function calendar.isleap with an argument self.data.year, if it evaluates to true,",if calendar . isleap ( self . data . year ) :
"append boundary to bytes string '--', substitute the result for self._separator.",self . _separator = b'--' + boundary
substitute self.version for version.,version = self . version
define the method __init__ with 2 arguments: self and field.,"def __init__ ( self , field ) :"
"compile regex from raw string '(?P<year>\d{4})-(?P<month>\d{1,2})-(?P<day>\d{1,2})$', substitute it for date_re.","date_re = re . compile ( r'(?P<year>\d{4})-(?P<month>\d{1,2})-(?P<day>\d{1,2})$' )"
import module socket.,import socket
"if not,",else :
"call the method self.load_template with 2 arguments: template_name and template_dirs, return the result.","return self . load_template ( template_name , template_dirs )"
"substitute '%s' is ""%s.process_response didn't return an HttpResponse object. It returned None instead."",","raise ValueError ( ""%s.process_response didn't return an "" ""HttpResponse object. It returned None instead."" % ( middleware_method . __self__ . __class__ . __name__ ) )"
define the method __init__ with arguments: self class instance and argv set to None.,"def __init__ ( self , argv = None ) :"
"attachment is an instance of a class SafeMIMEText, created with arguments: content, subtype and encoding.","attachment = SafeMIMEText ( content , subtype , encoding )"
derive the class BadHeaderError from the ValueError base class.,class BadHeaderError ( ValueError ) :
substitute value for self.value.,self . value = value
define the function divisibleby with 2 arguments value and arg.,"def divisibleby ( value , arg ) :"
"call the method self.as_table, return the result.",return self . as_table ( )
import module glob.,import glob
"raise an CommandError with an argument string ""Cannot find a migration matching '%s' from app '%s'."",","raise CommandError ( ""Cannot find a migration matching '%s' from app '%s'."" % ( migration_name , app_label ) )"
import module time.,import time
substitute last element of bits for asvar.,asvar = bits [ - 1 ]
get attribute 'error_dict' from the self object.,"getattr ( self , 'error_dict' )"
"if not,",else :
self.file_name is None.,self . file_name = None
"call the method self._coerce with an argument value, return the result.",return self . _coerce ( value )
"instantiate class X, get its length.",len ( X ( ) )
EventHandler.modified_code is I18N_MODIFIED.,EventHandler . modified_code = I18N_MODIFIED
from django.conf import settings into default name space.,from django . conf import settings
"call the function next_space_index with 2 arguments subject and i, substitute the result for i.","i = next_space_index ( subject , i )"
self.object_name is a string 'CacheEntry'.,self . object_name = 'CacheEntry'
"if tzinfo equals a string 'Z',",if tzinfo == 'Z' :
"if not,",else :
"call the function lazy_number with 6 arguments: npgettext, six.text_type, context set to context, singular set to singular,","return lazy_number ( npgettext , six . text_type , context = context , singular = singular , plural = plural , number = number )"
"call the method registry.tags_available, sort the result and join it into a string, separate by newlines, write it to self.stdout.",self . stdout . write ( '\n' . join ( sorted ( registry . tags_available ( ) ) ) )
"if self.verbosity is grater than, or equal to integer 2,",if self . verbosity >= 2 :
"otherwise substitute settings.USE_L10N for use_grouping. if use_grouping is true substitute it for use_grouping, otherwise substitute force_grouping for use_grouping.",use_grouping = use_grouping or force_grouping
define the method close with self class instance as the argument.,def close ( self ) :
"define lambda function that returns self.file.xreadlines field, use it as an argument for property function, put the result in xreadlines.",xreadlines = property ( lambda self : self . file . xreadlines )
return self._files.,return self . _files
timeout is a integer -1.,timeout = - 1
from functools import partial into default name space.,from functools import partial
"if not,",else :
derive class Command from the TemplateCommand base class.,class Command ( TemplateCommand ) :
"call the method self.xml.endElement with an argument string ""django-objects"".","self . xml . endElement ( ""django-objects"" )"
define the method content with 2 arguments: self and value.,"def content ( self , value ) :"
"substitute the '%s' with table and list containing key, respectively. define the method has_key with self class instance, key and version defaulting to None as arguments.","def has_key ( self , key , version = None ) :"
import module os.,import os
"if template doesnt have a 'render' attribute,","if not hasattr ( template , 'render' ) :"
import module hashlib.,import hashlib
return an empty dictionary.,return { }
"substitute the result for block_content. if self.verbatim is true and block_content equals self.verbatim,",if self . verbatim and block_content == self . verbatim :
"for every f in return value of the os.listdir function called with an argument command_dir, append f without 3 last elements to a list, only if f doesnt start with character '_' and doesnt ends with string '.py', return the resulting list.",return [ f [ : - 3 ] for f in os . listdir ( command_dir ) if not f . startswith ( '_' ) and f . endswith ( '.py' ) ]
"for every k and v in self.choices,","for k , v in self . choices :"
raise an exception PageNotAnInteger with string 'That page number is not an integer' as an argument.,raise PageNotAnInteger ( 'That page number is not an integer' )
"and unpacked dictionary kwargs, return the result. call the function MovedModule with 2 arguments: strings ""_dummy_thread"" and ""dummy_thread"",","add_move ( MovedModule ( ""_dummy_thread"" , ""dummy_thread"" ) )"
"for every __ in iterator,",for __ in iterator :
"for every name and value in items of props dictionary,","for name , value in props . items ( ) :"
"call the method self.handle with 2 arguments unpacked list args and unpacked dictionary options, substitute the result for output.","output = self . handle ( * args , ** options )"
"and code set to an string 'required'. for every val in value,",for val in value :
return first and second element of result.,"return result [ 0 ] , result [ 1 ]"
"call the function warnings.warn with 3 arguments: string '`MergeDict` is deprecated, use `dict.update()` instead.',","warnings . warn ( '`MergeDict` is deprecated, use `dict.update()` ' 'instead.' , RemovedInDjango19Warning , 2 )"
"define the method setlist with 3 arguments: self, key and list_.","def setlist ( self , key , list_ ) :"
substitute new for self.mod.,self . mod = new
substitute url_name for self.url_name.,self . url_name = url_name
"if flags is not None,",if flags is not None :
"'SafeMIMEMultipart', 'DEFAULT_ATTACHMENT_MIME_TYPE', 'make_msgid', 'BadHeaderError', 'forbid_multi_line_headers', 'get_connection', 'send_mail', 'send_mass_mail', 'mail_admins' and 'mail_managers'. define function get_connection with backend set to None, fail_silently set to boolean False and dictionary kwds as arguments.","def get_connection ( backend = None , fail_silently = False , ** kwds ) :"
"format string ""%s%s%s"" with 3 elements: result of the function random.getstate, result of the call the the function time.time,","random . seed ( hashlib . sha256 ( ( ""%s%s%s"" % ( random . getstate ( ) , time . time ( ) , settings . SECRET_KEY ) ) . encode ( 'utf-8' ) ) . digest ( ) )"
"try,",try :
append list containing string '--no-location' to self.xgettext_options.,self . xgettext_options = self . xgettext_options [ : ] + [ '--no-location' ]
"choices is an property property object of this class, with _get_choices getter and ChoiceField._set_choices setter functions.","choices = property ( _get_choices , ChoiceField . _set_choices )"
"call the method self.get_template_sources with 2 arguments template_name and template_dirs, for every filepath in the result,","for filepath in self . get_template_sources ( template_name , template_dirs ) :"
"compile a regex from raw string '^\.\s*(\w+)\s*', substitute it for DOT_PATTERN.",DOT_PATTERN = re . compile ( r'^\.\s*(\w+)\s*' )
existing_headers is a set of lowercase headers for every header in vary_headers.,existing_headers = set ( header . lower ( ) for header in vary_headers )
"define the method __setitem__ with arguments self, name and val.","def __setitem__ ( self , name , val ) :"
"if OverflowError exception is caught,",except OverflowError :
substitute the value under the fieldname key of the self.fields dictionary for field.,field = self . fields [ fieldname ]
define the method __str__ with an argument self.,def __str__ ( self ) :
substitute connection.features.test_db_allows_multiple_connections for use_threading.,use_threading = connection . features . test_db_allows_multiple_connections
"if pofile path exists,",if os . path . exists ( pofile ) :
substitute loaders for self._loaders.,self . _loaders = loaders
append first element of e.args to not_found list.,not_found . append ( e . args [ 0 ] )
yield ch and boolean False.,"yield ch , False"
"default set to boolean False and help set to a string 'Display all settings, regardless of their value. Default values are prefixed by ""###"".' define the method handle with arguments self and unpacked dictionary options.","def handle ( self , ** options ) :"
increment weight by integer 2.,weight += 2
return func.,return func
"if min_value is not None,",if min_value is not None :
"if length of x is equal to integer 0,",if len ( x ) == 0 :
"if ImportError exception is caught,",except ImportError :
"increment doublecolon_len by integer 1,",doublecolon_len += 1
"join app_config.path and 'locale' into a valid directory path, separated by '/', append it to basedirs.","basedirs . append ( os . path . join ( app_config . path , 'locale' ) )"
from django.utils.encoding import force_text and smart_text into default name space.,"from django . utils . encoding import force_text , smart_text"
"if six.PY3 is true,",if six . PY3 :
"replace '%s' in string ""%s = %s ###"" with key and value under the key key of the user_setting dictionary, append it to the output.","output . append ( ""%s = %s ###"" % ( key , user_settings [ key ] ) )"
processors is an empty tuple.,processors = ( )
"if not,",else :
from django.conf import settings into default name space.,from django . conf import settings
from django.conf import settings into default name space.,from django . conf import settings
"if expanded_template is a directory,",if path . isdir ( expanded_template ) :
"if ValueError exception is caught,",except ValueError :
"for every i and v in enumerated iterable value,","for i , v in enumerate ( value ) :"
"compile the regex ""^https?://"" with an argument re.I, substitute it for absolute_http_url_re.","absolute_http_url_re = re . compile ( r""^https?://"" , re . I )"
import warnings.,import warnings
call the method os.dup2 with 2 arguments: result of the method se.fileno and result of the method sys.stderr.fileno.,"os . dup2 ( se . fileno ( ) , sys . stderr . fileno ( ) )"
"if target_dir path doesnt exists,",if not path . exists ( target_dir ) :
and unpacked dictionary kwargs. instance.keyOrder is an empty list.,instance . keyOrder = [ ]
"if IndexError exception is caugh,",except IndexError :
"default_error_messages is an dictionary with an initial entry: result of the function _ called with an argument string,","default_error_messages = { 'invalid' : _ ( 'Enter a whole number.' ) , }"
return a tuple with an element self.__offset.,"return self . __offset ,"
"'Enter a number.' for 'invalid', return value of the function ungettext_lazy called with 3 string arguments: 'Ensure that there are no more than %(max)s digit in total.', 'Ensure that there are no more than %(max)s digits in total.', and 'max' for 'max_digits', return value of the function ungettext_lazy called with 3 string arguments: 'Ensure that there are no more than %(max)s decimal place.', 'Ensure that there are no more than %(max)s decimal places.' and 'max', for 'max_decimal_places' and return value of the function ungettext_lazy called with 3 string arguments: 'Ensure that there are no more than %(max)s digit before the decimal point.', 'Ensure that there are no more than %(max)s digits before the decimal point.' and 'max' for 'max_whole_digits'. define the method __init__ with 7 arguments: self, max_value set to None, min_value set to None, max_digits set to None,","def __init__ ( self , max_value = None , min_value = None , max_digits = None , decimal_places = None , * args , ** kwargs ) :"
"for model in return value of the method router.get_migratable_models with arguments app_config, connection.alias,","for model in router . get_migratable_models ( app_config , connection . alias , include_auto_created = True ) :"
import module zipfile.,import zipfile
self.method is None.,self . method = None
"join rendered_widgets into a string, return it.",return '' . join ( rendered_widgets )
"original_lookup, RemovedInDjango20Warning and stacklevel set to integer 3. call the method self.reverse_dict.getlist with an argument lookup_view, substitute the result for possibilities.",possibilities = self . reverse_dict . getlist ( lookup_view )
define the function int2byte with an argument i.,def int2byte ( i ) :
define the method errors with an argument self.,def errors ( self ) :
"match rest string with self.INDEX_PATTERN regex, substitute the result for m.",m = self . INDEX_PATTERN . match ( rest )
substitute self.obj for model.,model = self . obj
derive the class JsLexer from the Lexer base class.,class JsLexer ( Lexer ) :
"cat for 'term'. if value under the 'item_copyright' key of the item dictionary is not None,",if item [ 'item_copyright' ] is not None :
derive the class TokenBase from the object base class.,class TokenBase ( object ) :
skip this loop iteration.,continue
"if IOErro, renamed to e, exception is caught,",except IOError as e :
"call the add_argument method on the parser object with string '--backwards', asction set to 'store_true', dest set to 'backwards',","parser . add_argument ( '--backwards' , action = 'store_true' , dest = 'backwards' , default = False , help = 'Creates SQL to unapply the migration, rather than to apply it' )"
"if tablename is contained in return value of the method connection.introspection.table_names,",if tablename in connection . introspection . table_names ( ) :
read the whole self file and yield it as a generator return value.,yield self . read ( )
"if InputStreamExhausted exception is caught,",except InputStreamExhausted :
from django.utils.encoding import smart_text into default name space.,from django . utils . encoding import smart_text
"if StandardError, renamed to e, exception is caught,",except StandardError as e :
"call the function make_origin with 4 arguments: display_name, loader, name and dirs, return a tuple containing 2 elements:","return ( source , make_origin ( display_name , loader , name , dirs ) )"
"if self.verbosity is greater than integer 1,",if self . verbosity > 1 :
"""Django 1.7 changed the global defaults for the MIDDLEWARE_CLASSES. django.contrib.sessions.middleware.SessionMiddleware, django.contrib.auth.middleware.AuthenticationMiddleware, and django.contrib.messages.middleware.MessageMiddleware were removed from the defaults. If your project needs these middleware then you should configure this setting."", obj set to None, and id set to a string '1_7.W001', put the result into a list and return it. if not,",else :
substitute self for result.parent.,result . parent = self
define the method configure_formatter with 2 arguments: self and config.,"def configure_formatter ( self , config ) :"
"call the function force_text with an argument error, return the result.",return force_text ( error )
is_usable is boolean False.,is_usable = False
append value under the key v of foreground dictionary to code_list.,code_list . append ( foreground [ v ] )
append f.name to exclude.,exclude . append ( f . name )
"substitute DEFAULT_MIN_NUM for min_num,",min_num = DEFAULT_MIN_NUM
"define the method update with 3 arguments: self, unpacked list args and unpacked dictionary kwargs.","def update ( self , * args , ** kwargs ) :"
substitute the limit_value for self.limit_value.,self . limit_value = limit_value
"call the function fields_for_model with 9 arguments: opts.model, opts.fields, opts.exclude, opts.widgets, formfield_callback,","fields = fields_for_model ( opts . model , opts . fields , opts . exclude , opts . widgets , formfield_callback , opts . localized_fields , opts . labels , opts . help_texts , opts . error_messages )"
"define the method render with 4 arguments: self, name, value and attrs set to None.","def render ( self , name , value , attrs = None ) :"
"value under '_data' key of obj_dict is a dictionary created with tuples containing 2 elements: k and result of the function,","obj_dict [ '_data' ] = dict ( ( k , self . getlist ( k ) ) for k in self )"
call the method self._stream.read with 2 arguments: unpacked list args and unpacked dictionary kwargs.,"return self . _stream . read ( * args , ** kwargs )"
"raise an TemplateSyntaxError exception with an argument string '""filter %s"" is not permitted. Use the ""autoescape"" tag instead.',","raise TemplateSyntaxError ( '""filter %s"" is not permitted. Use the ""autoescape"" tag instead.' % filter_name )"
"convert to strings and concatenate context, CONTEXT_SEPARATOR and message, substitute the result for msg_with_ctxt.","msg_with_ctxt = ""%s%s%s"" % ( context , CONTEXT_SEPARATOR , message )"
"tpl is an string ""ExternalReferenceForbidden(system_id='{}', public_id={})"".","tpl = ""ExternalReferenceForbidden(system_id='{}', public_id={})"""
"if six.PY3 is boolean True,",if six . PY3 :
"if settings.MANAGERS does not exist,",if not settings . MANAGERS :
"if not,",else :
"if not,",else :
"convert ip_str to lowercase, if it doesnt start with a string '0000:0000:0000:0000:0000:ffff:',",if not ip_str . lower ( ) . startswith ( '0000:0000:0000:0000:0000:ffff:' ) :
from django.utils.safestring import mark_safe into default name space.,from django . utils . safestring import mark_safe
"call the method token.split_contents, substitute the result for bits.",bits = token . contents . split ( )
call the add_arguments method with parser as argument form the base class of the class Command.,"super ( Command , self ) . add_arguments ( parser )"
define the method to_python with arguments self and value.,"def to_python ( self , value ) :"
delete self.name attribute from the obj.__class__ object.,"delattr ( obj . __class__ , self . name )"
return val.,return val
supported is boolean False.,supported = False
"call the __init__ method with 3 arguments: CRITICAL, unpacked list args and unpacked dictionary kwargs from the base class of Critical.","return super ( Critical , self ) . __init__ ( CRITICAL , * args , ** kwargs )"
remove the first element from result.,result . pop ( )
"get dictionary self items, convert the result into a dictionary, convert the result into a string and return it.",return str ( dict ( self . items ( ) ) )
call the method obj.save with an argument using set to self.using.,obj . save ( using = self . using )
"call the method pop from the base class of the class SortedDict, with 2 arguments k and unpacked list args,","result = super ( SortedDict , self ) . pop ( k , * args )"
substitute locale_dir for self.locale_dir.,self . locale_dir = locale_dir
sort all_files and return it.,return sorted ( all_files )
"call the function getargspec with an argument func, substitute the result for args, varargs, varkw and defaults, respectively.","args , varargs , varkw , defaults = getargspec ( func )"
from django.conf import settings into default name space.,from django . conf import settings
"if consume_next is true,",if consume_next :
define the method ordered_forms with an argument self.,def ordered_forms ( self ) :
"if return value of the code_changed function is true,",if code_changed ( ) :
"call the function force_text with an argument field.help_text, format help_text_html with it, substitute the result for help_text.",help_text = help_text_html % force_text ( field . help_text )
"call the method handler.file_complete with i-th element of counters as an argument, substitute the result for file_obj.",file_obj = handler . file_complete ( counters [ i ] )
"get the value under the 'no_startup' key of the options dictionary, if it evaluates to false,",if not options [ 'no_startup' ] :
return self._body.,return self . _body
"if refto is contained in known_models,",if refto in known_models :
"for every i in range of integers from 0 to length of result, not included,",for i in range ( len ( result ) ) :
"yield the result. if ImportError exception is caught,",except ImportError :
"call the executor.migration_plan method with targets as the argument, substitute the result for plan.",plan = executor . migration_plan ( targets )
"if value is false or character '@' is not contained in value,",if not value or '@' not in value :
return default.,return default
import module sys.,import sys
"property decorator,",@ property
substitute pubid for self.pubid.,self . pubid = pubid
"__all__ is a tuple containing strings: 'LOCK_EX', 'LOCK_SH', 'LOCK_NB', 'lock' and 'unlock'.","__all__ = ( 'LOCK_EX' , 'LOCK_SH' , 'LOCK_NB' , 'lock' , 'unlock' )"
call the function __import__ with an argument name.,__import__ ( name )
value under f.name key of the dta dictionary is an empty list.,data [ f . name ] = [ ]
define the function pgettext with 2 arguments: context and message.,"def pgettext ( context , message ) :"
"try,",try :
define the function get_unbound_function with an argument unbound.,def get_unbound_function ( unbound ) :
append self.fk.name to form._meta.fields.,form . _meta . fields . append ( self . fk . name )
"define the method __setitem__ with 3 arguments: self, key and value.","def __setitem__ ( self , key , value ) :"
"builtins is an dictionary with 3 initial entries: boolean True for 'True', boolean False for 'False' and None for 'None'.","builtins = { 'True' : True , 'False' : False , 'None' : None }"
"if name is not None,",if name is not None :
delete the entry of self.cleaned_data dictionary under the key field.,del self . cleaned_data [ field ]
